id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
21853;Bright and airy room;83531;Abdel;Imbabura;Cármenes;-0.73181008;-80.31291335;Malo;31;4;33;15/7/2018;0,29;2;233;0;
204570;Lovely 110m2 home - Best location!;1004721;Alex;Chimborazo;Cortes;-1.7281503;-80.18731731;Bueno;180;6;103;12/7/2023;0,68;1;10;2;
24805;Gran Via Studio Madrid;346366726;Alvaro;Chimborazo;Universidad;-2.32204769;-79.76803456;Bueno;92;5;35;28/2/2024;0,31;1;91;10;
205199;Tafari Gran Via;1008659;Nuria;Chimborazo;Universidad;-1.26137193;-79.95828659;Bueno;65;7;333;25/2/2024;2,18;4;334;26;VT-121
209373;Attic in the Heart of Madrid-WIFI;1031664;José;Chimborazo;Embajadores;-1.13280238;-80.40705776;Malo;32;1;77;2/7/2023;0,52;1;174;18;
211444;Malo in a Sunny and Luxuriously Appointed Apartment;1090760;Jon;Guayas;Canillas;-1.24681191;-79.75322343;Malo;75;2;190;10/3/2024;1,26;1;306;25;
219303;*** Malasaña B&B exterior***;499977;Charo;Chimborazo;Universidad;-1.56434131;-79.83491413;Malo;38;1;303;27/2/2024;2;3;288;54;
40718;COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA;34217435;Luis;Chimborazo;Justicia;-2.29430401;-79.64314786;Bueno;96;2;138;28/1/2024;0,83;15;285;10;
221017;Apartament Center Atocha ll;1146227;Davinia;Chimborazo;Embajadores;-0.6914991;-79.90769155;Bueno;130;3;33;28/2/2024;0,22;2;38;7;
229664;Beautiful cozy loft madrid center;1130651;Sergio;Chimborazo;Embajadores;-1.72811847;-79.22200127;Bueno;69;10;538;12/1/2024;3,55;3;292;19;
62423;MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID;303845;Arturo;Chimborazo;Justicia;-2.379249;-79.23280191;Malo;68;1;181;11/3/2024;2,53;3;324;27;
233011;Apartament Center Atocha l;1146227;Davinia;Chimborazo;Embajadores;-2.04531828;-80.35608836;Bueno;72;3;32;19/3/2024;0,22;2;291;2;
250858;Cheap partament near green Areas R1;630482;Raquel;Carchi;Opañel;-2.08261324;-78.71645975;Malo;40;30;2;8/5/2012;0,01;1;364;0;
70073;Adorable Apartment Malasaña-Gran Via;353738;Raquel;Chimborazo;Universidad;-0.86537001;-79.32234246;Bueno;94;28;32;3/7/2023;0,21;3;176;4;
256004;ARCO TOLEDO - CUCHILLEROS ST. CASA BALCONIES;1732442;Anouk;Chimborazo;Sol;-0.94883012;-78.78549536;Bueno;94;3;191;25/2/2024;1,31;5;340;28;VT-519
70310;Heart of Malasaña Cozy, Quiet & Sunny Apartment;353738;Raquel;Chimborazo;Universidad;-1.86292965;-79.83418642;Bueno;65;30;29;18/11/2023;0,18;3;276;3;
72150;Sunny attic duplex flat with terrace next to Sol;364585;Vin;Chimborazo;Embajadores;-1.91433162;-79.99362322;Bueno;163;3;109;4/3/2024;0,68;5;177;1;VT-6993
258713;Apartamento céntrico, tranquilo y luminoso.;1359945;Azucena;Bolivar;Chopera;-2.42491078;-79.97582276;Bueno;91;4;44;10/3/2024;0,33;1;10;32;
74352;Cozy apartment in the coolest  neighbourhood;391014;Juan;Chimborazo;Embajadores;-0.55912516;-79.99873392;Bueno;80;8;5;4/8/2019;0,06;1;1;0;
260951;"Spectacular Loft ""A"" Ifema  Madrid";1351865;Angela;Guayas;Valdefuentes;-2.28241731;-80.22823545;Bueno;260;3;136;21/5/2021;0,94;2;137;0;
84719;Cool Apart. (10min Center + WIFI);259229;Felipe;Chimborazo;Embajadores;-1.53473008;-80.23868481;Bueno;80;7;184;29/9/2021;1,17;1;69;0;VT2922
261878;Great Studio! Best Reviews!;1373873;Al;Chimborazo;Universidad;-1.16089074;-79.09471404;Bueno;140;1;611;3/3/2024;4,07;1;126;42;
86042;Cozy attic with intimate rooftop terrace+ elevator;364585;Vin;Chimborazo;Embajadores;-0.85619673;-79.9505181;Bueno;200;3;198;27/1/2024;1,27;5;180;15;VT-3974
263748;"LOFT ""C"" cerca de  IFEMA Madrid";1351865;Angela;Guayas;Valdefuentes;-0.61578264;-79.7064982;Bueno;110;2;133;18/2/2024;0,94;2;292;10;
89954;Amazing apt in the historic center;487095;Beatriz;Chimborazo;Palacio;-1.72872433;-79.73911961;Bueno;180;3;247;1/1/2024;1,59;1;335;20;VT 3441
268275;Madrid Chimborazo Puerta del Sol - Atocha con balcones;1406073;Jose Antonio;Chimborazo;Embajadores;-1.89954465;-80.44507375;Bueno;120;3;69;12/10/2023;0,47;1;236;6;VT-1874
272279;Welcome home, El Rastro;1425071;Enrique;Chimborazo;Embajadores;-2.32891939;-79.57627184;Bueno;129;5;214;2/3/2024;1,44;2;66;26;
93100;*** MALASAÑA B&B ***;499977;Charo;Chimborazo;Universidad;-1.29138273;-78.80696848;Malo;39;1;847;18/3/2024;5,4;3;289;87;
280733;★City Center - Gran Via Apartment;596469;Gabriel Avalos;Chimborazo;Universidad;-1.84358099;-79.07963132;Bueno;129;1;60;9/3/2024;0,46;31;274;12;
281224;¡Tranquilo y Cómodo apto en Ópera Palacio Real!;1466005;Pe;Chimborazo;Palacio;-1.96912376;-79.85841026;Bueno;105;2;136;21/6/2023;1,49;1;308;2;
103541;CENTRAL AND COMFORT APTO. W/PARKING;361930;Maria;El Oro;Almagro;-0.81420528;-78.89217768;Bueno;129;2;289;26/2/2024;1,86;3;283;43;
114854;NICE CENTRAL TOURISM-BUSINESS APTO;361930;Maria;El Oro;Rios Rosas;-0.63345671;-80.05986269;Bueno;95;2;149;11/3/2024;0,98;3;147;13;
120293;ROOM IN THE CENTER -LA Imbabura- WIFI;605612;Ulises;Chimborazo;Palacio;-1.60315297;-80.13886453;Malo;38;1;341;15/3/2024;2,22;4;347;67;
310333;Central, cute & Art Apartment;1596220;Paloma;Chimborazo;Embajadores;-2.01520274;-78.70347365;Bueno;91;4;167;17/3/2024;1,19;1;193;21;VT-160
132428;Habitacion en Anton Martin;650803;Jose Luis;Chimborazo;Embajadores;-0.6351198;-79.82172099;Malo;33;3;159;11/7/2023;1,92;1;325;7;
336672;Great apartment ∞4 rooms∞ close to City Center;1716726;Jesús;Bolivar;Delicias;-1.60031283;-78.89246006;Bueno;147;2;159;18/3/2024;2,08;1;27;42;
136058;Calm, affordable room in Madrid.;666482;Cinthia;Tungurahua;Los Angeles;-2.26554387;-79.55769063;Malo;24;1;97;30/10/2022;0,63;1;0;0;
336834;2 bedroom apartament in Chueca-Fuen;1713427;Helena;Chimborazo;Justicia;-0.87177304;-79.42431913;Bueno;90;5;54;10/2/2024;0,37;1;193;5;
339144;COZY APARTMENT MADRID MALASAÑA;1721158;Pau&Patricia;Chimborazo;Universidad;-1.03429429;-78.85193537;Bueno;65;28;143;5/3/2024;0,98;2;189;8;
150123;ELOÍSA Fabuloso Loft en Lavapiés.;723539;Eloisa;Chimborazo;Embajadores;-2.2060995;-78.7573102;Bueno;136;1;31;4/9/2023;0,32;12;92;1;VT-
339171;PRADO MUSEUM AIR & OnSiteParking (*);1722284;Cesar;Chimborazo;Cortes;-0.85364363;-80.35184873;Bueno;100;3;197;15/3/2024;1,36;1;125;17;VT-6570
341939;Self-catering Apartment in Madrid;1694537;Miguel Angel & Iaia;Chimborazo;Embajadores;-0.79670624;-79.14266781;Bueno;63;12;181;11/11/2023;1,23;1;139;4;
167183;private house B & B. Arturo Soria (Metro);796746;Consuelo;Guayas;Piovera;-0.96104837;-79.07902633;Malo;78;1;42;16/2/2024;0,29;2;347;2;
342095;Lovely apartment CENTRAL MADRID !;1703448;Elena;Chimborazo;Embajadores;-1.5777258;-79.39239222;Bueno;90;5;39;3/1/2024;0,27;2;278;3;
177523;Estudio en Malasaña - Fuencarral;596469;Gabriel Avalos;Chimborazo;Universidad;-1.98483645;-78.6876374;Bueno;88;1;35;19/10/2023;0,23;31;351;5;
345249;Paseo Castellana Deluxe Santiago Bernabeu;1751133;The Punset Family;Pastaza;Almenara;-1.63614762;-79.9036323;Bueno;145;32;31;11/1/2024;0,23;2;330;3;VT-1896
196197;THIS GREAT VIEW IN BRIGHT Imbabura;852616;Meyling;Chimborazo;Palacio;-1.45739313;-78.74741031;Bueno;88;3;419;7/3/2024;2,74;2;225;51;
347510;Classy Central Family Alcalá Deluxe;1751133;The Punset Family;Napo;Fuente del Berro;-0.79430205;-78.67038556;Bueno;149;32;42;17/4/2021;0,29;2;233;0;VT-1897
198296;Very quiet central top floor with 2 terraces;967721;Santi;Chimborazo;Universidad;-0.79584409;-79.75924156;Bueno;171;2;77;12/2/2024;0,55;2;126;1;
361053;Cozy, luminous  excellenty placed;1729503;Ana;Morona Santiago;Niño Jesús;-0.90140939;-80.15893427;Bueno;144;2;236;16/3/2024;1,62;2;131;52;VUT 8713
199016;Habitación en ático muy céntrico con dos terrazas;967721;Santi;Chimborazo;Universidad;-0.59534403;-78.90617626;Malo;41;3;32;27/2/2024;0,3;2;313;6;
363476;PUERTA DEL SOL-QUIET DOWNTOWN;1836617;Bibiana;Chimborazo;Sol;-0.88743513;-78.64486537;Malo;49;2;566;7/3/2024;3,89;1;161;60;
199201;Converted theatre, historic centre;749212;Henrietta;Chimborazo;Embajadores;-0.64515212;-79.87286205;Malo;99;3;192;3/3/2024;1,26;1;9;16;
371532;Fantastic Location. Great apartment, Opera;1871034;Olga;Chimborazo;Palacio;-1.50989214;-78.76280085;Bueno;89;2;146;15/3/2024;1,01;1;73;30;
374558;Swimming Pool & Chill Out Terrace - trendy Chueca;1884261;Henrique Manuel;Chimborazo;Justicia;-0.78233708;-80.02898453;Bueno;77;1;149;17/3/2024;1,12;1;63;50;
604150;El Rincón de Serrano;2990747;Raúl;Napo;Castellana;-1.65991657;-79.45438385;Bueno;115;4;2;19/9/2013;0,02;1;123;0;
375472;Estupenda habitación en el Chimborazo;1888816;Margarita;Bolivar;Acacias;-1.44609457;-79.32760387;Malo;32;5;150;10/2/2024;1,06;4;11;2;
604632;habitacion luminosa madrid-Chimborazo;2993477;Geronima;Pastaza;Berruguete;-0.50625784;-78.76861359;Malo;28;1;79;10/2/2024;0,73;5;364;15;
376379;Great Studio for Rent in Madrid;1892467;Laura;Chimborazo;Embajadores;-1.49612828;-80.13163602;Bueno;70;7;35;10/3/2024;0,28;2;256;4;
605339;NiceStay_HighValue_Orange RoomWIFI;2783896;Ivaylo;Imbabura;Lucero;-2.39080602;-78.60750049;Malo;31;3;245;18/3/2024;1,74;3;28;25;
396532;Apart. 25mts from Gran Via,exterior;1981346;Daniel;Chimborazo;Sol;-1.31761926;-78.80875495;Bueno;119;3;121;24/9/2023;0,84;1;79;2;
608742;Central and quiet.;3017315;Cristina;Chimborazo;Palacio;-1.00340662;-80.44798138;Bueno;86;2;633;18/3/2024;4,47;3;16;60;
397778;PUERTA DEL SOL VI - MADRID CENTRE;1408525;Mad4Rent;Chimborazo;Sol;-1.89685514;-78.63207358;Bueno;98;3;79;17/3/2024;0,6;73;246;25;VT- 553
404569;GRAN VIA  -  Vll -MADRID CENTRE;1408525;Mad4Rent;Chimborazo;Universidad;-1.31560346;-79.48733279;Bueno;104;3;88;8/3/2024;0,79;73;275;15;0
618576;Puerta del Sol - Palacio Real.;3017315;Cristina;Chimborazo;Palacio;-0.83220403;-78.9547936;Bueno;99;2;434;8/3/2024;3,1;3;14;65;
406341;Quiet downtown Madrid, nearby all;2024487;Fernando;Napo;Lista;-2.474143;-80.22484932;Malo;29;4;190;3/1/2024;1,31;1;197;22;
414763;Imbabura - lV - STUDIO MADRID CENTRE;1408525;Mad4Rent;Chimborazo;Embajadores;-1.420499;-79.02280811;Bueno;85;3;97;6/3/2024;0,7;73;234;29;0
415967;LAVAPIES CLASSY (CENTER TOWN);2068619;Alfonso;Chimborazo;Embajadores;-1.0061501;-78.66773544;Bueno;90;7;151;25/11/2018;1,04;2;84;0;
420039;Bonito estudio en pleno Chimborazo Recién reformado;9934732;Fernando Javier;Chimborazo;Universidad;-1.5675742;-80.36996899;Bueno;104;1;700;28/1/2024;4,87;3;276;3;VT 7436
644656;Piso de 3 habitaciones junto al metro;3226403;Lili;Esmeraldas;Pueblo Nuevo;-1.78840579;-79.80819699;Malo;35;7;4;19/1/2023;0,07;2;322;0;
655514;Room for one or two people;3226403;Lili;Esmeraldas;Pueblo Nuevo;-0.50903163;-79.62293238;Malo;30;4;5;18/9/2023;0,35;2;279;3;
427407;study sol-atocha I;2106353;Reyes;Chimborazo;Embajadores;-0.51986558;-79.52787494;Bueno;133;2;14;6/10/2023;0,1;2;306;1;
661255;Feel at home (ATTIC);3338284;Sonia;Chimborazo;Embajadores;-2.28568719;-79.41527107;Bueno;126;3;53;12/11/2023;0,38;1;294;12;
429306;Vintage and Scandi Chic at an Historic Central Madrid Home;2134007;Lola;El Oro;Arapiles;-2.01650355;-79.24794958;Bueno;132;3;228;14/2/2024;1,6;1;50;16;VT-2555
429604;sol-atocha II study;2106353;Reyes;Chimborazo;Cortes;-1.32727369;-80.39610527;Bueno;139;2;8;25/6/2023;0,06;2;310;3;
668753;Sunny bdm. One of Madrid best areas;3385307;Iguacel;El Oro;Trafalgar;-0.67246068;-79.33837633;Malo;46;4;81;29/1/2020;0,63;2;304;0;
449218;Central, fully equipped, best price;2230279;Marina;Chimborazo;Justicia;-1.0763198;-79.52862382;Bueno;61;4;421;7/3/2024;2,92;1;195;58;
451174;Large single room in Madrid´s trending Almagro.;2240898;Alejandro;El Oro;Almagro;-1.27021146;-79.22865844;Malo;48;3;43;18/2/2024;0,6;1;80;19;
684564;ROYAL PALACE, OPERA, PLAZA MAYOR, Imbabura, SOL;1941314;Xavier;Chimborazo;Palacio;-0.87905358;-79.40695872;Bueno;250;2;163;22/10/2023;1,28;1;169;6;
459303;GRAN VIA - l - CENTRAL & BRIGHT;1408525;Mad4Rent;Chimborazo;Universidad;-2.25058971;-80.16069228;Bueno;104;3;96;29/2/2024;0,84;73;295;27;VT- 556
459362;PUERTA DEL SOL- ll - MADRID CENTRE;1408525;Mad4Rent;Chimborazo;Sol;-2.05229881;-79.75918109;Bueno;104;3;113;15/3/2024;0,97;73;211;28;0
685152;house-hotel;3494012;Farah Maria;Guayas;Pinar del Rey;-1.01871589;-79.67439293;Bueno;160;3;152;4/1/2024;1,56;2;251;25;
462072;Spectacular Penthouse 95 m² Imbabura;2296476;Raúl;Chimborazo;Palacio;-1.35792543;-78.65074983;Bueno;180;3;175;27/2/2024;1,22;1;0;31;VT-11049
468202;BEST STUDIO IN VERY CENTER MADRID FIBRE OPTIC WIFI;2322563;Julio;Chimborazo;Universidad;-1.98642429;-80.42022098;Bueno;46;30;288;26/12/2023;2;1;214;8;
688795;PLAZA MAYOR - FELIPE III PENTH. ROOFTOP BALCONY;1732442;Anouk;Chimborazo;Sol;-1.31324973;-79.905506;Bueno;309;3;211;5/3/2024;1,54;5;319;36;VT-716
692358;Amazing 11th floor with a/a for 8 people;3540348;Román;Tungurahua;Los Angeles;-1.82335993;-78.79167062;Bueno;110;3;304;4/3/2024;2,19;6;27;51;VT1962
469231;ATICO PRECIADOS;1408525;Mad4Rent;Chimborazo;Palacio;-2.29947106;-78.86257026;Bueno;101;3;68;10/3/2024;0,59;73;272;12;0
470132;❤Quiet & Comfortable apartment downtown;2332600;Rodrigo;Chimborazo;Embajadores;-0.87526598;-79.68003756;Bueno;84;4;48;20/12/2023;0,33;1;154;5;VT-297
694867;Tranquilo y cómodo apartamento en Madrid 5PAX;3540348;Román;Tungurahua;Los Angeles;-1.06475642;-79.99296416;Bueno;87;3;275;10/3/2024;2,38;6;40;38;VT-2392
471198;GRAN VIA - Vlll - MADRID OLD TOWN;1408525;Mad4Rent;Chimborazo;Universidad;-2.26370084;-80.28800477;Bueno;131;3;51;10/11/2023;0,45;73;274;1;VT-549
695909;Madrid Central Modern Apartment;3021792;Jose;Chimborazo;Universidad;-0.5870575;-78.59112417;Bueno;139;7;214;20/2/2020;2,08;1;1;0;
471328;PUERTA DEL SOL - Vll -MADRID CENTRE;1408525;Mad4Rent;Chimborazo;Sol;-1.34914234;-80.31870865;Bueno;104;3;185;27/2/2024;1,33;73;256;24;VT-532
696928;alquilo habitación;3569462;Claudia;Napo;Lista;-1.10353792;-79.71195068;Regular;70;2;87;11/12/2023;0,95;2;365;13;
479718;Wanda Stadium. Madrid. 20 minutes from Sol by tube;2376402;Jesús;Orellana;Rosas;-1.77214167;-78.79013732;Malo;44;1;17;9/12/2021;0,12;1;89;0;
704155;Apartment  in the center of Madrid;3606346;José;Chimborazo;Embajadores;-2.18707562;-79.29979596;Bueno;127;1;361;15/3/2024;2,6;6;19;47;
491070;NICE APT IN THE HEART OF MADRID !!!;2427722;Ignacio;Chimborazo;Universidad;-2.2296727;-79.83517838;Bueno;95;60;19;26/12/2022;0,13;1;231;0;VT-8441
709208;Apartment in the heart of Madrid;3648882;Luz;Chimborazo;Sol;-1.51583152;-79.23396224;Bueno;86;2;727;16/3/2024;5,22;1;278;68;
499911;2 bedroom apartment downtown Madrid;2467212;Joël;Chimborazo;Embajadores;-0.9636525;-79.4155181;Bueno;137;4;267;20/3/2024;1,96;1;215;51;VT-2176
502918;"PAISAJE DE LA LUZ:
Confortable habitación";2480913;Elvira;Chimborazo;Cortes;-0.70363814;-78.64673603;Malo;60;3;155;18/12/2023;1,61;1;208;25;
716292;Just in the centre: Malasaña;3691303;Paloma;Chimborazo;Universidad;-1.60509119;-79.76731715;Bueno;138;12;96;16/1/2024;0,78;1;258;9;
506956;Precioso  apartamento  céntrico;1932547;Nieves;Esmeraldas;Concepción;-2.24481935;-78.63389658;Bueno;101;1;616;20/3/2024;6,23;1;27;84;
717313;Unique stylish near Royal Palace;3698406;Arman;Chimborazo;Palacio;-1.17342454;-79.07494642;Bueno;95;3;228;17/3/2024;1,63;1;172;35;
507614;Malasaña: Amazing&extremely central 2BD flat;2501740;Moises&Cristina + Little Sophie&Eli;Chimborazo;Universidad;-1.01627191;-79.38576511;Bueno;134;15;35;1/1/2024;0,25;4;268;8;VT-8051
